username,repo_name,repo_url
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises
ansible,ansible,https://github.com/ansible/ansible
trailofbits,algo,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray
ansible,awx,https://github.com/ansible/awx
easzlab,kubeasz,https://github.com/easzlab/kubeasz
semaphoreui,semaphore,https://github.com/semaphoreui/semaphore
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz
khuedoan,homelab,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,https://github.com/clong/DetectionLab
ansible,molecule,https://github.com/ansible/molecule
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops
